State,Bus #1 Weekday,Bus #1 Saturday,Bus #1 Sunday,Bus #2 Weekday,Bus #2 Saturday,Bus #2 Sunday
No heater,1.45,1.47,1.46,1.4,1.43,1.43
With heater,1.25,1.26,1.26,1.2,1.23,1.22
