bus,total,light,medium,heavy
 1-1,430,340,300,210
 1-2,500,350,305,220
 1-3,310,320,290,205
 1-4,400,350,300,220
 1-5,300,330,290,203
 10-1,450,315,300,210
 10-2,470,330,290,212
 10-3,380,310,294,213
 10-4,290,310,295,210
 10-5,300,320,300,205
 10-6,210,310,290,205
 11-1,270,350,320,250
 12-1,380,330,300,230
 2-1,490,310,290,220
 2-2,350,310,292,222
 2-3,340,308,290,220
 25-1,300,304,290,218
 3-1,490,302,290,219
 4-1,290,340,300,225
 4-2,300,335,298,240
 6-1,380,320,296,230
