date,name,category,value
2019-02-01,Heavy Duty Bus #2,BEB,37.83333333
2019-03-01,Heavy Duty Bus #2,BEB,56.75
2019-04-01,Heavy Duty Bus #2,BEB,75.66666667
2019-05-01,Heavy Duty Bus #2,BEB,94.58333333
2019-06-01,Heavy Duty Bus #2,BEB,113.5
2019-07-01,Heavy Duty Bus #2,BEB,132.4166667
2019-08-01,Heavy Duty Bus #2,BEB,151.3333333
2019-09-01,Heavy Duty Bus #2,BEB,170.25
2019-10-01,Heavy Duty Bus #2,BEB,189.1666667
2019-11-01,Heavy Duty Bus #2,BEB,208.0833333
2019-12-01,Heavy Duty Bus #2,BEB,227
